month,day,hour,weekend,temp,rain
1,25,21,0,2.2469853333333334,0.0
1,25,22,0,2.2295476666666665,0.0
1,25,23,0,2.304341,0.0
1,26,0,0,2.5484501666666666,0.0
1,26,1,0,2.7486800000000002,0.0
1,26,2,0,2.6314965000000003,0.0
1,26,3,0,2.5195380000000003,0.0
1,26,4,0,2.5246220000000004,0.0
1,26,5,0,2.2914803333333333,0.0
1,26,6,0,1.9667538333333334,0.0
1,26,7,0,1.9188758333333336,0.0
1,26,8,0,2.0837885000000003,0.0
1,26,9,0,2.3780978333333334,0.0
1,26,10,0,2.7662706666666668,0.0
1,26,11,0,3.0080876666666665,0.0
1,26,12,0,3.0449115,0.0
1,26,13,0,2.952916,0.0
1,26,14,0,2.9369693333333333,0.0
1,26,15,0,2.9132618333333333,0.0
1,26,16,0,2.8885088333333333,0.0
1,26,17,0,2.7798835,0.0
1,26,18,0,2.8065700000000002,0.0
1,26,19,0,3.0141321666666667,0.0
1,26,20,0,3.397281,0.0
1,26,21,0,3.616161333333333,0.0
1,26,22,0,3.6325963333333333,0.0
1,26,23,0,3.689356,0.0
1,27,0,0,3.8346226666666667,0.0
1,27,1,0,4.030188333333333,0.0
1,27,2,0,4.224628333333333,0.0
1,27,3,0,4.4014345,0.0
1,27,4,0,4.409790666666667,0.0
1,27,5,0,4.146678166666667,0.0
1,27,6,0,4.0566225000000005,0.0
1,27,7,0,4.706897833333334,0.0
1,27,8,0,5.559518333333333,0.0
1,27,9,0,6.642045166666667,0.0
1,27,10,0,6.9750185,0.0
1,27,11,0,7.0554675,0.0
1,27,12,0,7.268980166666666,0.002
1,27,13,0,7.563075833333333,0.002
1,27,14,0,7.778827833333334,0.003
1,27,15,0,8.407593666666665,0.0
1,27,16,0,8.990426666666666,0.0
1,27,17,0,9.031167833333333,0.0
1,27,18,0,8.546411,0.0
1,27,19,0,8.129437833333332,0.0
1,27,20,0,8.1264705,0.0
1,27,21,0,7.915293833333333,0.0
1,27,22,0,7.632417333333334,0.0
1,27,23,0,7.131528166666667,0.0
1,28,0,0,6.732641166666666,0.0
1,28,1,0,6.397413333333334,0.0
1,28,2,0,5.909191,0.0
1,28,3,0,5.156945166666667,0.0
1,28,4,0,3.8605086666666666,0.0
1,28,5,0,3.187279,0.0
1,28,6,0,2.9551655,0.0
1,28,7,0,2.7979241666666668,0.0
1,28,8,0,2.7987371666666667,0.0
1,28,9,0,3.065097833333333,0.0
1,28,10,0,3.5961315000000003,0.0
1,28,11,0,4.314115666666667,0.0
1,28,12,0,4.786196333333334,0.0
1,28,13,0,5.316036333333333,0.0
1,28,14,0,5.754755666666667,0.0
1,28,15,0,5.922418,0.0
1,28,16,0,5.981586666666666,0.0
1,28,17,0,5.718835333333334,0.0
1,28,18,0,5.2416495,0.0
1,28,19,0,5.030788833333333,0.0
1,28,20,0,5.166791,0.0
1,28,21,0,5.370530666666667,0.0
1,28,22,0,5.7340143333333335,0.0
1,28,23,0,5.801217,0.0
1,29,0,1,5.819639333333334,0.0
1,29,1,1,5.827819166666667,0.0
1,29,2,1,5.844743833333333,0.0
1,29,3,1,5.965061333333334,0.0
1,29,4,1,6.528679166666667,0.0
1,29,5,1,7.289462666666666,0.0
1,29,6,1,7.887078166666666,0.0
1,29,7,1,8.351799666666667,0.0
1,29,8,1,8.811104666666667,0.0
1,29,9,1,9.029413666666667,0.0
1,29,10,1,9.251413166666667,0.0
1,29,11,1,9.817789833333334,0.0
1,29,12,1,10.41402,0.0
1,29,13,1,10.838306666666668,0.0
1,29,14,1,11.179308333333333,0.0
1,29,15,1,11.403288333333334,0.0
1,29,16,1,11.22372,0.0
1,29,17,1,11.023243333333333,0.0
1,29,18,1,10.651335,0.0
1,29,19,1,10.689521666666666,0.0
1,29,20,1,10.722954999999999,0.0
1,29,21,1,9.9244255,0.0
1,29,22,1,8.935627666666667,0.0
1,29,23,1,8.067400333333334,0.0
1,30,0,1,7.578269333333334,0.0
1,30,1,1,6.917207166666667,0.0
1,30,2,1,6.600312833333334,0.0
1,30,3,1,5.955218833333333,0.0
1,30,4,1,5.564269166666667,0.0
1,30,5,1,5.246936333333333,0.0
1,30,6,1,5.199313166666667,0.0
1,30,7,1,5.226562666666666,0.0
1,30,8,1,5.3620235,0.0
1,30,9,1,5.707979333333333,0.0
1,30,10,1,6.159350333333333,0.0
1,30,11,1,6.846097333333333,0.0
